title,director,country,genre,year
"Мальчик, Крот, Лис и Конь","Peter Baynton, [d], Чарли Маккизи","Великобритания, США",,2022
Маньяк,Франк Кальфун,Франция,"слэшер, психологический триллер",2012
"Манцикерт, 1071-й","Озгюр Бакар, Билал Калёнку",Турция,"исторический фильм, боевик",2022
Марш утренней зари,Роман Качанов,Россия,"историческое кино, музыкальное кино, комедия",2022
Малыш Джо,Джессика Хаузнер,"Австрия, Великобритания, Германия","драматический фильм, научно-фантастический фильм",2019
Маленький пакет любви,Гастон Солники,"Аргентина, Австрия",драма,2022
Любовь для взрослых,"Барбара Топсеэ-Ротенборг, [da]",Дания,"триллер, драма",2022
Лулу и Бриггс,Ченнинг Татум,США,"комедийная драма, роуд-муви",2022
Лучший,Майкл Грейси,Великобритания,"биография, драма",2022
М3ГАН,Джерард Джонстоун,"США, [3]","фильм ужасов, научно-фантастический",2022
Любовь по вызову,"Софи Хайд, [d]",Великобритания,комедийная драма,2022
Любовь как бестселлер,Эналин Каль-и-Майор,"Мексика, Великобритания",романтическая комедия,2022
Лучшие в аду,Андрей Батов,Россия,"военный, боевик",2022
Любовь искупительная,Ди Джей Карузо,США,"[d], романтический фильм",2022
Говорящие картинки,Масаюки Суо,Япония,"комедия, драма",2019
Главнокомандующий,"Росс В. Кларксон, Филиппе Мартинес","США, Великобритания, Венгрия, Филиппины",боевик,2019
Герой,Карен Оганесян,Россия,"триллер, боевик, комедия, криминал",2019
«Голос за безгласных»,Анна Барсукова,Россия,Документальное кино,2019
Лицо памяти,Доминик Граф,Германия,драма,2021
Либерея: Охотники за сокровищами,Глеб Орлов,Россия,"приключения, боевик",2022
Годзилла 2: Король монстров,Майкл Догерти,"[2], [2], [2]",фильм о монстрах,2019
Глотай,"Carlo Mirabella-Davis, [d]","США, Франция","драматический фильм, независимый кинематограф",2019
Героические лузеры,Себастьян Боренштейн,"Аргентина, Испания","криминальная, комедия",2019
Выше неба,Оксана Карас,Россия,мелодрама,2019
Вторжение,"Фёдор Бондарчук, Олег Трофим, Лёд, Майор Гром: Чумной Доктор, расширенная версия, Гром: Трудное детство, Майор Гром: Игра",Россия,"фантастика, драма",2019
Гемини,Энг Ли,США,остросюжетный боевик,2019
"Где ты, Адам?",Александр  Запорощенко,Украина,документальный фильм,2019
Гарриет,Кейси Леммонс,США,драма,2019
Гарет Джонс,Агнешка Холланд,"Украина, Польша, Великобритания","драматический фильм, фильм-триллер, биографический фильм",2019
"Гангстер, коп и дьявол",Ли Вон Тхэ,Республика Корея,"Триллер, Боевик",2019
Встреча одноклассников,Валентин Шпаков,Украина,комедия,2019
Воскресенье,Светлана Проскурина,Россия,драма,2019
Волшебник,Михаил Морсков,Россия,"комедия, драма",2019
Волны,Трей Эдвард Шульц,США,драма,2019
Водяная,Алексей Барыкин,Россия,фэнтези,2019
Вне закона,"Джеймс Каллен Брессак, [d]",США,боевик,2019
Вивариум,Лоркан Финнеган,"США, Великобритания, Ирландия, Бельгия, Дания","научно-фантастический фильм, фильм-триллер",2019
Вечный свет,Гаспар Ноэ,Франция,драматический фильм,2019
Верность,Нигина Сайфуллаева,Россия,"эротика, драма",2019
Ван Гоги,Сергей Ливнев,Россия,драма,2019
В тихом омуте,Адам Рэндолл,США,,2019
В тени Луны,Джим Микл,США,"триллер, фантастика",2019
В прямом эфире,Ниша Ганатра,США,комедийная драма,2019
В погоне за Бонни и Клайдом,Джон Ли Хэнкок,США,"биография, криминальная драма",2019
В плену у сакуры,Масаки Иноуэ,"Япония, Россия",романтический фильм,2019
