title,director,country,genre,year
Стрелок,Роберт Лоренц,США,"триллер, боевик",2021
Заклятие 3: По воле дьявола,Майкл Чавес,США,,2021
#засранка,Андрей Хуцуляк,Румыния,Комедия,2021
За гранью жизни,Майк Бёрнс,США,"триллер, криминал",2021
Жар-птица,Пеэтер Ребане,"Великобритания, Эстония","мелодрама, драма",2021
Естественный свет,"Денеш Наги, [d]","Германия, Венгрия, Латвия, [1], Франция, [1]","военный фильм, драматический фильм",2021
Дьявол в деталях,Джон Ли Хэнкок,США,"неонуар, криминальный триллер",2021
Ёлки 8,"Александра Лупашко, Варвара Маценова, Антон Богданов, Василий Зоркий",Россия,комедия,2021
Женщина в окне,Джо Райт,США,"детектив, триллер, драма",2021
З/Л/О 94,Саймон Баррет,США,"ужасы, найденная плёнка",2021
Дэдпул и Корг реагируют,Райан Рейнольдс,США,супергеройский фильм,2021
Лакшми,"Рагхава Лоуренс, [d]",Индия,"ужасы, комедия",2020
Лёд 2,Жора Крыжовников,Россия,"мюзикл, cпорт, мелодрама, драма",2020
Лучшие годы жизни,Клод Лелуш,Франция,"драматический фильм, романтический фильм",2019
Лесси. Возвращение домой,Ханно Ольдердиссен,Германия,"семейный фильм, Приключения, , драма,",2020
Ловец снов,Керри Харрис,США,ужасы,2020
Дюна,Дени Вильнёв,США,"научная фантастика, эпический фильм",2021
Лето 85,"Озон, Франсуа",Франция,драма,2020
Куш собачий,Оливье Ван Хуфстад,Франция,комедия,2020
Кукла 2: Брамс,Уильям Брент Белл,США,фильм ужасов,2020
"Куда ты идёшь, Аида?",Ясмила Жбанич,"Босния и Герцеговина, Австрия, Румыния, Нидерланды, Германия, Польша, Франция, Турция, Норвегия","военный фильм, драматический фильм, [2], исторический фильм",2020
Кровь и деньги,"Джон Барр, [d]",США,триллер,
Кто не спрятался,Дэйв Франко,США,"ужасы, триллер",2020
Кровные узы,Томас Безуча,США,Триллер,2020
Криминальные боссы,Кларк Дьюк,США,"триллер, криминал, драма",2020
Крёстная мама,"Жан-Поль Саломе, [d]",Франция,"[d], комедийный фильм, криминальный фильм",2020
Купала,Владимир Янковский,Белоруссия,"биография, драма",2020
Кома,Никита Аргунов,Россия,"боевик, фэнтези, фантастика, приключения",2019
Кошмары,Энтони Скотт Бёрнс,Канада,"фильм ужасов, кинофантастика",2020
"Кошки против собак 3: Лапы, объединяйтесь!",Шон Макнамара,США,"семейный, фэнтези, боевик, комедия",2020
Корпоративные животные,Патрик Брайс,США,кинокомедия,2019
Коп на драйве,Тарек Будали,Франция,комедия,2020
Коффи и Карим,Майкл Даус,США,"боевик, комедия",2020
Король Стейтен-Айленда,Джадд Апатоу,США,"драма, комедия",2020
Конференция,Иван И. Твердовский,"Россия, Эстония, Италия, Великобритания",драма,2020
Коллекторы 2,Джесси Джонсон,США,"боевик, комедия",2020
Колдовство: Новый ритуал,"Листер-Джонс, Зои",США,подростковый фильм,2020
